go_term_id,go_name,n_genes,n_changed,n_up,n_down,n_same,pct_changed,pct_same,pct_up,pct_down
GO:0000015,phosphopyruvate hydratase complex,10,2,0,2,8,0.2,99.8,0,0.2
GO:0000027,ribosomal large subunit assembly,16,5,5,0,11,0.3125,99.6875,0.3125,0
GO:0000028,ribosomal small subunit assembly,16,3,3,0,13,0.1875,99.8125,0.1875,0
GO:0000030,mannosyltransferase activity,18,2,0,2,16,0.1111111111111111,99.88888888888889,0,0.1111111111111111
GO:0000045,autophagosome assembly,46,4,4,0,42,0.08695652173913043,99.91304347826087,0.08695652173913043,0
GO:0000049,tRNA binding,67,13,13,0,54,0.19402985074626866,99.80597014925372,0.19402985074626866,0
GO:0000055,ribosomal large subunit export from nucleus,12,3,3,0,9,0.25,99.75,0.25,0
GO:0000062,fatty-acyl-CoA binding,29,6,5,1,23,0.20689655172413793,99.79310344827586,0.1724137931034483,0.034482758620689655
GO:0000070,mitotic sister chromatid segregation,21,12,0,12,9,0.5714285714285714,99.42857142857143,0,0.5714285714285714
GO:0000077,DNA damage checkpoint signaling,18,0,0,0,18,0,100,0,0
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,26,7,1,6,19,0.2692307692307692,99.73076923076923,0.038461538461538464,0.23076923076923078
GO:0000082,G1/S transition of mitotic cell cycle,19,1,1,0,18,0.05263157894736842,99.94736842105263,0.05263157894736842,0
GO:0000086,G2/M transition of mitotic cell cycle,12,5,1,4,7,0.4166666666666667,99.58333333333333,0.08333333333333333,0.3333333333333333
GO:0000103,sulfate assimilation,13,4,4,0,9,0.3076923076923077,99.6923076923077,0.3076923076923077,0
GO:0000118,histone deacetylase complex,34,4,1,3,30,0.11764705882352941,99.88235294117646,0.029411764705882353,0.08823529411764706
GO:0000122,negative regulation of transcription by RNA polymerase II,244,12,3,9,232,0.04918032786885246,99.95081967213115,0.012295081967213115,0.036885245901639344
GO:0000123,histone acetyltransferase complex,24,0,0,0,24,0,100,0,0
GO:0000124,SAGA complex,20,0,0,0,20,0,100,0,0
GO:0000132,establishment of mitotic spindle orientation,35,5,1,4,30,0.14285714285714285,99.85714285714286,0.02857142857142857,0.11428571428571428
GO:0000139,Golgi membrane,422,60,50,10,362,0.14218009478672985,99.85781990521328,0.11848341232227488,0.023696682464454975
GO:0000145,exocyst,34,2,0,2,32,0.058823529411764705,99.94117647058823,0,0.058823529411764705
GO:0000146,microfilament motor activity,49,2,0,2,47,0.04081632653061224,99.95918367346938,0,0.04081632653061224
GO:0000149,SNARE binding,79,6,4,2,73,0.0759493670886076,99.92405063291139,0.05063291139240506,0.02531645569620253
GO:0000151,ubiquitin ligase complex,63,2,2,0,61,0.031746031746031744,99.96825396825396,0.031746031746031744,0
GO:0000159,protein phosphatase type 2A complex,29,0,0,0,29,0,100,0,0
GO:0000164,protein phosphatase type 1 complex,17,2,1,1,15,0.11764705882352941,99.88235294117646,0.058823529411764705,0.058823529411764705
GO:0000165,MAPK cascade,35,5,3,2,30,0.14285714285714285,99.85714285714286,0.08571428571428572,0.05714285714285714
GO:0000166,nucleotide binding,1721,210,114,96,1511,0.12202208018593841,99.87797791981406,0.06624055781522371,0.0557815223707147
GO:0000175,3'-5'-exoribonuclease activity,32,2,2,0,30,0.0625,99.9375,0.0625,0
GO:0000176,nuclear exosome (RNase complex),12,1,1,0,11,0.08333333333333333,99.91666666666667,0.08333333333333333,0
GO:0000177,cytoplasmic exosome (RNase complex),11,1,1,0,10,0.09090909090909091,99.9090909090909,0.09090909090909091,0
GO:0000178,exosome (RNase complex),20,0,0,0,20,0,100,0,0
GO:0000179,"rRNA (adenine-N6,N6-)-dimethyltransferase activity",11,7,7,0,4,0.6363636363636364,99.36363636363636,0.6363636363636364,0
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",47,1,1,0,46,0.02127659574468085,99.97872340425532,0.02127659574468085,0
GO:0000209,protein polyubiquitination,115,7,7,0,108,0.06086956521739131,99.93913043478261,0.06086956521739131,0
GO:0000226,microtubule cytoskeleton organization,133,23,4,19,110,0.17293233082706766,99.82706766917293,0.03007518796992481,0.14285714285714285
GO:0000245,spliceosomal complex assembly,15,1,0,1,14,0.06666666666666667,99.93333333333334,0,0.06666666666666667
GO:0000266,mitochondrial fission,19,2,1,1,17,0.10526315789473684,99.89473684210526,0.05263157894736842,0.05263157894736842
GO:0000276,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",20,1,1,0,19,0.05,99.95,0.05,0
GO:0000278,mitotic cell cycle,95,19,1,18,76,0.2,99.8,0.010526315789473684,0.18947368421052632
GO:0000281,mitotic cytokinesis,44,13,0,13,31,0.29545454545454547,99.70454545454545,0,0.29545454545454547
GO:0000287,magnesium ion binding,169,17,5,12,152,0.10059171597633136,99.89940828402366,0.029585798816568046,0.07100591715976332
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,14,2,1,1,12,0.14285714285714285,99.85714285714286,0.07142857142857142,0.07142857142857142
GO:0000290,deadenylation-dependent decapping of nuclear-transcribed mRNA,13,0,0,0,13,0,100,0,0
GO:0000307,cyclin-dependent protein kinase holoenzyme complex,24,5,0,5,19,0.20833333333333334,99.79166666666667,0,0.20833333333333334
GO:0000340,RNA 7-methylguanosine cap binding,14,0,0,0,14,0,100,0,0
GO:0000380,"alternative mRNA splicing, via spliceosome",14,2,0,2,12,0.14285714285714285,99.85714285714286,0,0.14285714285714285
GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",60,4,3,1,56,0.06666666666666667,99.93333333333334,0.05,0.016666666666666666
GO:0000387,spliceosomal snRNP assembly,33,7,5,2,26,0.21212121212121213,99.78787878787878,0.15151515151515152,0.06060606060606061
GO:0000398,"mRNA splicing, via spliceosome",167,12,4,8,155,0.0718562874251497,99.92814371257485,0.023952095808383235,0.04790419161676647
GO:0000407,phagophore assembly site,16,0,0,0,16,0,100,0,0
GO:0000413,protein peptidyl-prolyl isomerization,36,2,0,2,34,0.05555555555555555,99.94444444444444,0,0.05555555555555555
GO:0000421,autophagosome membrane,30,1,1,0,29,0.03333333333333333,99.96666666666667,0.03333333333333333,0
GO:0000422,autophagy of mitochondrion,34,0,0,0,34,0,100,0,0
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",26,8,7,1,18,0.3076923076923077,99.6923076923077,0.2692307692307692,0.038461538461538464
GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",19,8,8,0,11,0.42105263157894735,99.57894736842105,0.42105263157894735,0
GO:0000470,maturation of LSU-rRNA,15,4,4,0,11,0.26666666666666666,99.73333333333333,0.26666666666666666,0
GO:0000502,proteasome complex,55,6,5,1,49,0.10909090909090909,99.89090909090909,0.09090909090909091,0.01818181818181818
GO:0000712,resolution of meiotic recombination intermediates,11,5,0,5,6,0.45454545454545453,99.54545454545455,0,0.45454545454545453
GO:0000723,telomere maintenance,27,3,0,3,24,0.1111111111111111,99.88888888888889,0,0.1111111111111111
GO:0000724,double-strand break repair via homologous recombination,68,9,2,7,59,0.1323529411764706,99.86764705882354,0.029411764705882353,0.10294117647058823
GO:0000727,double-strand break repair via break-induced replication,12,3,0,3,9,0.25,99.75,0,0.25
GO:0000774,adenyl-nucleotide exchange factor activity,11,2,2,0,9,0.18181818181818182,99.81818181818181,0.18181818181818182,0
GO:0000775,"chromosome, centromeric region",74,23,0,23,51,0.3108108108108108,99.6891891891892,0,0.3108108108108108
GO:0000776,kinetochore,111,34,1,33,77,0.3063063063063063,99.69369369369369,0.009009009009009009,0.2972972972972973
GO:0000781,"chromosome, telomeric region",42,1,0,1,41,0.023809523809523808,99.97619047619048,0,0.023809523809523808
GO:0000785,chromatin,124,12,2,10,112,0.0967741935483871,99.90322580645162,0.016129032258064516,0.08064516129032258
GO:0000786,nucleosome,45,5,4,1,40,0.1111111111111111,99.88888888888889,0.08888888888888889,0.022222222222222223
GO:0000812,Swr1 complex,13,2,0,2,11,0.15384615384615385,99.84615384615384,0,0.15384615384615385
GO:0000813,ESCRT I complex,23,1,1,0,22,0.043478260869565216,99.95652173913044,0.043478260869565216,0
GO:0000814,ESCRT II complex,10,2,2,0,8,0.2,99.8,0.2,0
GO:0000815,ESCRT III complex,13,1,1,0,12,0.07692307692307693,99.92307692307692,0.07692307692307693,0
GO:0000902,cell morphogenesis,43,4,1,3,39,0.09302325581395349,99.90697674418605,0.023255813953488372,0.06976744186046512
GO:0000904,cell morphogenesis involved in differentiation,16,0,0,0,16,0,100,0,0
GO:0000922,spindle pole,53,12,0,12,41,0.22641509433962265,99.77358490566037,0,0.22641509433962265
GO:0000932,P-body,62,3,1,2,59,0.04838709677419355,99.95161290322581,0.016129032258064516,0.03225806451612903
GO:0000940,outer kinetochore,17,11,0,11,6,0.6470588235294118,99.3529411764706,0,0.6470588235294118
GO:0000956,nuclear-transcribed mRNA catabolic process,17,1,1,0,16,0.058823529411764705,99.94117647058823,0.058823529411764705,0
GO:0000974,Prp19 complex,10,0,0,0,10,0,100,0,0
GO:0000976,transcription cis-regulatory region binding,80,8,5,3,72,0.1,99.9,0.0625,0.0375
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,326,27,9,18,299,0.08282208588957055,99.91717791411043,0.027607361963190184,0.05521472392638037
GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,1034,63,33,30,971,0.0609284332688588,99.93907156673114,0.031914893617021274,0.029013539651837523
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",1449,103,46,57,1346,0.07108350586611456,99.92891649413389,0.031746031746031744,0.039337474120082816
GO:0000987,cis-regulatory region sequence-specific DNA binding,20,0,0,0,20,0,100,0,0
GO:0000993,RNA polymerase II complex binding,21,2,1,1,19,0.09523809523809523,99.9047619047619,0.047619047619047616,0.047619047619047616
GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",55,3,2,1,52,0.05454545454545454,99.94545454545455,0.03636363636363636,0.01818181818181818
GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",81,5,3,2,76,0.06172839506172839,99.93827160493827,0.037037037037037035,0.024691358024691357
GO:0001401,SAM complex,13,1,1,0,12,0.07692307692307693,99.92307692307692,0.07692307692307693,0
GO:0001501,skeletal system development,69,0,0,0,69,0,100,0,0
GO:0001503,ossification,34,2,0,2,32,0.058823529411764705,99.94117647058823,0,0.058823529411764705
GO:0001510,RNA methylation,25,6,6,0,19,0.24,99.76,0.24,0
GO:0001516,prostaglandin biosynthetic process,17,6,6,0,11,0.35294117647058826,99.6470588235294,0.35294117647058826,0
GO:0001518,voltage-gated sodium channel complex,53,3,0,3,50,0.05660377358490566,99.94339622641509,0,0.05660377358490566
GO:0001522,pseudouridine synthesis,36,4,4,0,32,0.1111111111111111,99.88888888888889,0.1111111111111111,0
GO:0001525,angiogenesis,377,15,5,10,362,0.03978779840848806,99.96021220159152,0.013262599469496022,0.026525198938992044
GO:0001540,amyloid-beta binding,19,2,2,0,17,0.10526315789473684,99.89473684210526,0.10526315789473684,0
GO:0001556,oocyte maturation,15,3,2,1,12,0.2,99.8,0.13333333333333333,0.06666666666666667
GO:0001558,regulation of cell growth,11,1,1,0,10,0.09090909090909091,99.9090909090909,0.09090909090909091,0
GO:0001568,blood vessel development,145,3,0,3,142,0.020689655172413793,99.97931034482758,0,0.020689655172413793
GO:0001569,branching involved in blood vessel morphogenesis,23,0,0,0,23,0,100,0,0
GO:0001570,vasculogenesis,96,7,2,5,89,0.07291666666666667,99.92708333333333,0.020833333333333332,0.052083333333333336
GO:0001578,microtubule bundle formation,13,3,0,3,10,0.23076923076923078,99.76923076923077,0,0.23076923076923078
GO:0001614,purinergic nucleotide receptor activity,27,3,3,0,24,0.1111111111111111,99.88888888888889,0.1111111111111111,0
GO:0001640,adenylate cyclase inhibiting G protein-coupled glutamate receptor activity,10,1,0,1,9,0.1,99.9,0,0.1
GO:0001649,osteoblast differentiation,13,0,0,0,13,0,100,0,0
GO:0001653,peptide receptor activity,10,0,0,0,10,0,100,0,0
GO:0001654,eye development,121,5,3,2,116,0.04132231404958678,99.95867768595042,0.024793388429752067,0.01652892561983471
GO:0001664,G protein-coupled receptor binding,58,10,8,2,48,0.1724137931034483,99.82758620689656,0.13793103448275862,0.034482758620689655
GO:0001666,response to hypoxia,69,10,5,5,59,0.14492753623188406,99.85507246376811,0.07246376811594203,0.07246376811594203
GO:0001671,ATPase activator activity,15,2,2,0,13,0.13333333333333333,99.86666666666666,0.13333333333333333,0
GO:0001682,tRNA 5'-leader removal,10,2,2,0,8,0.2,99.8,0.2,0
GO:0001702,gastrulation with mouth forming second,23,2,2,0,21,0.08695652173913043,99.91304347826087,0.08695652173913043,0
GO:0001706,endoderm formation,27,0,0,0,27,0,100,0,0
GO:0001707,mesoderm formation,12,0,0,0,12,0,100,0,0
GO:0001708,cell fate specification,47,2,0,2,45,0.0425531914893617,99.95744680851064,0,0.0425531914893617
GO:0001725,stress fiber,33,1,0,1,32,0.030303030303030304,99.96969696969697,0,0.030303030303030304
