NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NCKAP1L	NCK associated protein 1 like [Source:HGNC Symbol;Acc:HGNC:4862]	7	0.48860716819763184	0.03930231	Yes	
row_1	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1 [Source:HGNC Symbol;Acc:HGNC:9875]	14	0.41141968965530396	0.0721799	Yes	
row_2	XK	X-linked Kx blood group [Source:HGNC Symbol;Acc:HGNC:12811]	21	0.38750091195106506	0.10243419	Yes	
row_3	MCOLN3	mucolipin TRP cation channel 3 [Source:HGNC Symbol;Acc:HGNC:13358]	51	0.2632450759410858	0.07212193	Yes	
row_4	FRMD7	FERM domain containing 7 [Source:HGNC Symbol;Acc:HGNC:8079]	55	0.25478819012641907	0.0939434	Yes	
row_5	TENM3	teneurin transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:29944]	57	0.2540886104106903	0.11976977	Yes	
row_6	TMC1	transmembrane channel like 1 [Source:HGNC Symbol;Acc:HGNC:16513]	60	0.24324220418930054	0.14236574	Yes	
row_7	TCF4	transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11634]	61	0.2429180145263672	0.1690078	Yes	
row_8	ZNF335	zinc finger protein 335 [Source:HGNC Symbol;Acc:HGNC:15807]	62	0.24175435304641724	0.19552222	Yes	
row_9	MINAR1	membrane integral NOTCH2 associated receptor 1 [Source:HGNC Symbol;Acc:HGNC:29172]	66	0.2389030009508133	0.21560147	Yes	
row_10	SRCIN1	SRC kinase signaling inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:29506]	67	0.23494967818260193	0.24136959	Yes	
row_11	TRAPPC9	trafficking protein particle complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:30832]	77	0.2252570241689682	0.24770732	Yes	
row_12	RNF157	ring finger protein 157 [Source:HGNC Symbol;Acc:HGNC:29402]	92	0.19968394935131073	0.24103624	Yes	
row_13	PLXNA1	plexin A1 [Source:HGNC Symbol;Acc:HGNC:9099]	96	0.19620482623577118	0.25643256	Yes	
row_14	CCKAR	cholecystokinin A receptor [Source:HGNC Symbol;Acc:HGNC:1570]	99	0.19120752811431885	0.27332163	Yes	
row_15	MAP3K13	mitogen-activated protein kinase kinase kinase 13 [Source:HGNC Symbol;Acc:HGNC:6852]	100	0.190499946475029	0.29421473	Yes	
