NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HP_REDUCED_TENDON_REFLEXES	HP_REDUCED_TENDON_REFLEXES	Details ...	15	0.5131511	1.464033	0.066019416	1.0	0.614	136	tags=47%, list=25%, signal=60%	
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	Details ...	16	0.55367637	1.4600333	0.0407767	1.0	0.617	120	tags=50%, list=22%, signal=62%	
GOMF_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	Details ...	19	0.48144385	1.4598056	0.047058824	1.0	0.617	53	tags=26%, list=10%, signal=28%	
GOCC_TRANSPORTER_COMPLEX	GOCC_TRANSPORTER_COMPLEX	Details ...	17	0.5480991	1.3969463	0.10236221	1.0	0.641	146	tags=59%, list=27%, signal=78%	
GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE	GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE	Details ...	15	0.49468297	1.3319901	0.1307847	1.0	0.666	21	tags=27%, list=4%, signal=27%	
HP_ABNORMAL_CORTICAL_GYRATION	HP_ABNORMAL_CORTICAL_GYRATION	Details ...	15	0.5408077	1.3236552	0.12209302	1.0	0.673	187	tags=73%, list=34%, signal=108%	
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	Details ...	18	0.47928795	1.320076	0.14117648	1.0	0.674	174	tags=61%, list=32%, signal=87%	
GOMF_ATP_DEPENDENT_ACTIVITY	GOMF_ATP_DEPENDENT_ACTIVITY	Details ...	18	0.47998518	1.3179094	0.1523046	1.0	0.675	53	tags=39%, list=10%, signal=42%	
GOBP_NEURON_DEVELOPMENT	GOBP_NEURON_DEVELOPMENT	Details ...	45	0.4341579	1.3131542	0.14143427	1.0	0.675	176	tags=53%, list=32%, signal=72%	
GOBP_EXPORT_FROM_CELL	GOBP_EXPORT_FROM_CELL	Details ...	27	0.45311013	1.3117191	0.16064256	1.0	0.676	106	tags=37%, list=19%, signal=44%	
GOBP_AXON_DEVELOPMENT	GOBP_AXON_DEVELOPMENT	Details ...	15	0.4952506	1.3047495	0.17	1.0	0.68	174	tags=67%, list=32%, signal=95%	
GOBP_CELL_PART_MORPHOGENESIS	GOBP_CELL_PART_MORPHOGENESIS	Details ...	26	0.45261475	1.3024107	0.14484127	1.0	0.682	159	tags=58%, list=29%, signal=77%	
GOCC_PLASMA_MEMBRANE_PROTEIN_COMPLEX	GOCC_PLASMA_MEMBRANE_PROTEIN_COMPLEX	Details ...	24	0.45548204	1.30131	0.18095239	1.0	0.682	112	tags=54%, list=20%, signal=65%	
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES	GOMF_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES	Details ...	26	0.42462558	1.2954684	0.104	1.0	0.685	71	tags=31%, list=13%, signal=34%	
GOBP_SYNAPSE_ORGANIZATION	GOBP_SYNAPSE_ORGANIZATION	Details ...	16	0.49265003	1.2901732	0.15109344	1.0	0.685	130	tags=63%, list=24%, signal=80%	
GOBP_SECRETION	GOBP_SECRETION	Details ...	25	0.4402295	1.2760824	0.19140625	1.0	0.693	106	tags=36%, list=19%, signal=43%	
HP_ABNORMALITY_OF_CENTRAL_NERVOUS_SYSTEM_ELECTROPHYSIOLOGY	HP_ABNORMALITY_OF_CENTRAL_NERVOUS_SYSTEM_ELECTROPHYSIOLOGY	Details ...	19	0.47522634	1.265089	0.17948718	1.0	0.696	24	tags=21%, list=4%, signal=21%	
GOBP_GENERATION_OF_NEURONS	GOBP_GENERATION_OF_NEURONS	Details ...	58	0.40757167	1.2640928	0.16798419	1.0	0.696	159	tags=48%, list=29%, signal=61%	
HP_ABNORMAL_HAIR_QUANTITY	HP_ABNORMAL_HAIR_QUANTITY	Details ...	17	0.4764766	1.2527354	0.19723865	1.0	0.701	187	tags=65%, list=34%, signal=95%	
GOBP_REGULATION_OF_SECRETION	GOBP_REGULATION_OF_SECRETION	Details ...	21	0.43527272	1.2429316	0.2074364	1.0	0.707	105	tags=38%, list=19%, signal=45%	
HP_INTERICTAL_EEG_ABNORMALITY	HP_INTERICTAL_EEG_ABNORMALITY		15	0.4870002	1.2375567	0.22912621	1.0	0.708	146	tags=47%, list=27%, signal=62%	
GOBP_REGULATION_OF_GROWTH	GOBP_REGULATION_OF_GROWTH		18	0.4501781	1.2296941	0.21343873	1.0	0.709	120	tags=39%, list=22%, signal=48%	
GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		26	0.41087544	1.2213811	0.21730383	1.0	0.714	84	tags=31%, list=15%, signal=35%	
